decision_month,decision_date,sell_date,universe_asof_date,raw_universe_size,available_universe_size,momentum_window,holding_months,top_n,stock_1,mom_1,stock_1_return,stock_2,mom_2,stock_2_return,stock_3,mom_3,stock_3_return,avg_momentum,holding_return
2016-06,2016-06-01,2016-09-01,2016-06-01,107,81,3,3,2,NVDA,0.13444065033187155,0.3515569886097265,ULTA,0.12046490451272714,0.03735005860334484,,,,0.12745277742229935,0.19445352360653567
2016-06,2016-06-01,2016-07-01,2016-06-01,107,81,3,1,3,NVDA,0.13444065033187155,-0.003204530554660745,ULTA,0.12046490451272714,0.029829360469239452,NTES,0.09314230535221113,0.04774044393443866,0.11601595339893661,0.024788424616339122
2016-06,2016-06-01,2016-08-01,2016-06-01,107,81,3,2,3,NVDA,0.13444065033187155,0.21192056695093076,ULTA,0.12046490451272714,0.10093804034024756,NTES,0.09314230535221113,0.15071495654961997,0.11601595339893661,0.1545245212802661
2016-06,2016-06-01,2016-09-01,2016-06-01,107,81,3,3,3,NVDA,0.13444065033187155,0.3515569886097265,ULTA,0.12046490451272714,0.03735005860334484,NTES,0.09314230535221113,0.23005368258927805,0.11601595339893661,0.2063202432674498
2016-07,2016-07-01,2016-08-01,2016-07-01,104,80,3,1,1,NVDA,0.09876681267466976,0.21581668867866788,,,,,,,0.09876681267466976,0.21581668867866788
2016-07,2016-07-01,2016-09-01,2016-07-01,104,80,3,2,1,NVDA,0.09876681267466976,0.3559020180557122,,,,,,,0.09876681267466976,0.3559020180557122
2016-07,2016-07-01,2016-10-03,2016-07-01,104,80,3,3,1,NVDA,0.09876681267466976,0.46969842081562385,,,,,,,0.09876681267466976,0.46969842081562385
2016-07,2016-07-01,2016-08-01,2016-07-01,104,80,3,1,2,NVDA,0.09876681267466976,0.21581668867866788,NTES,0.09724269171678708,0.09828246414588615,,,,0.09800475219572842,0.15704957641227701
2016-07,2016-07-01,2016-09-01,2016-07-01,104,80,3,2,2,NVDA,0.09876681267466976,0.3559020180557122,NTES,0.09724269171678708,0.17400610972906905,,,,0.09800475219572842,0.2649540638923906
2016-07,2016-07-01,2016-10-03,2016-07-01,104,80,3,3,2,NVDA,0.09876681267466976,0.46969842081562385,NTES,0.09724269171678708,0.3314215186506313,,,,0.09800475219572842,0.4005599697331276
